"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSG00000184557" 386.12920528239 -0.782125772293051 0.120669796217212 -6.481537193327 9.07927795541964e-11 1.45638343796009e-08
"ENSG00000031003" 415.926377700131 -1.06175370017351 0.164092912172465 -6.47044217886501 9.77165404621022e-11 1.54833050027329e-08
"ENSG00000122254" 232.748634133809 -0.968673886905973 0.15085331432252 -6.42129668318043 1.35118393053683e-10 2.11517262764639e-08
"ENSG00000143375" 459.479779250987 0.866459128596649 0.134992651118342 6.41856516942586 1.3756471678952e-10 2.12783138719789e-08
"ENSG00000108654" 10249.9168373144 -0.420049686794887 0.065492776960752 -6.41367958861496 1.42048599802991e-10 2.17133818498855e-08
"ENSG00000041982" 7549.7428560752 -0.73773497534816 0.115187775795185 -6.40462905247798 1.50735409160736e-10 2.27733159444818e-08
"ENSG00000184979" 553.084015918905 0.904566348531622 0.141419025426973 6.39635541116588 1.59129372394526e-10 2.37651486841618e-08
"ENSG00000162734" 2971.52258915615 -0.496705752876095 0.077683140931646 -6.39399677869811 1.61604834476283e-10 2.38605865267085e-08
"ENSG00000168918" 1804.62336435166 0.558255922193703 0.0875283414318884 6.37800183416155 1.79413365976909e-10 2.61923355521121e-08
"ENSG00000111335" 5528.76249420199 0.454841133649697 0.0713770717680142 6.37237031981358 1.86128786783793e-10 2.68707925186869e-08
"ENSG00000153006" 2619.27402711071 -0.46101992427154 0.0725010938647732 -6.3587995669613 2.03336519217297e-10 2.90324329031905e-08
"ENSG00000124193" 5608.61339732609 -0.449508831958907 0.0708211772729868 -6.34709629615777 2.19416800326777e-10 3.09878531157154e-08
"ENSG00000075213" 209.112186167852 0.958656450313558 0.151617702526208 6.32285303325875 2.56777499661676e-10 3.58743016462813e-08
"ENSG00000103056" 239.798762144695 1.08245641220599 0.171832212318208 6.29949645414234 2.98614132085256e-10 4.12754618955716e-08
"ENSG00000134317" 870.953234300794 0.933214811586525 0.148431385137407 6.28717983546822 3.23284811037974e-10 4.4215153155962e-08
"ENSG00000119922" 109.89377051099 1.44210666726793 0.22997361383338 6.27074838382443 3.59316862152392e-10 4.86312915619378e-08
"ENSG00000135870" 1386.02625558439 -0.508513650058506 0.0812507860853274 -6.25856898817544 3.88526019741977e-10 5.20424595310052e-08
"ENSG00000114315" 684.388303226282 0.680158718629502 0.109063120388336 6.23637684496547 4.47821563183224e-10 5.93729139840779e-08
"ENSG00000132530" 1183.98905678621 0.590947252316296 0.0949814883688689 6.22170975065479 4.91766155971185e-10 6.45405824700364e-08
"ENSG00000179094" 833.778530863572 -0.77108549834403 0.124012850376435 -6.21778707612508 5.04215117174388e-10 6.55126701744682e-08
"ENSG00000019549" 4432.77906598559 -0.540495701215182 0.0869822540134488 -6.21386175083038 5.16980171453905e-10 6.65061719574315e-08
"ENSG00000130254" 1033.31843217029 -0.593522441433157 0.0956352224629318 -6.20610718674499 5.43131412119229e-10 6.91853572320112e-08
"ENSG00000131746" 6936.57842160053 -0.618206965211878 0.0997405179644233 -6.19815274502974 5.71296851708572e-10 7.20666018859172e-08
"ENSG00000140022" 4226.08008390023 -0.454679721532703 0.0741115232766133 -6.13507456641607 8.51192597569084e-10 1.06341782886684e-07
"ENSG00000119669" 1525.89209297844 0.496000017271787 0.0812948768624651 6.10124569240594 1.0524498549111e-09 1.30233152046285e-07
"ENSG00000138675" 446.60032200391 -0.811428089204709 0.133179046821033 -6.09276090025718 1.10979761544546e-09 1.36033966202669e-07
"ENSG00000163840" 4005.95416903871 0.525616210181542 0.086405692570866 6.08312015727964 1.17865946910422e-09 1.43124509178235e-07
"ENSG00000118898" 6815.27445413284 0.812076944455272 0.133593049406255 6.07873649164005 1.21133230172263e-09 1.44771281592537e-07
"ENSG00000171488" 2049.502501715 -0.515703323511587 0.084843112184502 -6.078316910277 1.21450547938017e-09 1.44771281592537e-07
"ENSG00000074590" 1291.23082993302 -0.6255120228597 0.103354138837405 -6.05212360042733 1.42948718570912e-09 1.68848427308351e-07
"ENSG00000179820" 439.149167210317 -0.792426416442656 0.131113789249813 -6.04380684119225 1.50519701716201e-09 1.76189413008883e-07
"ENSG00000075426" 4008.24150546674 -0.419059450416771 0.0694233109179423 -6.03629306749854 1.5769474619006e-09 1.82939985468522e-07
"ENSG00000188215" 1697.86839366326 0.518474301834311 0.0859143476115891 6.03478134034476 1.59178078180882e-09 1.83026616796832e-07
"ENSG00000172345" 457.164524448537 0.667962343348989 0.110967017937531 6.01946736754716 1.74991929687706e-09 1.99444749336173e-07
"ENSG00000183486" 1322.37969909629 0.542501151715595 0.0901708813163297 6.01636741036654 1.78374469801521e-09 2.01532129228797e-07
"ENSG00000100650" 1604.51484472725 -0.659813446890107 0.109972144679283 -5.99982339904666 1.97532244083729e-09 2.20773555917399e-07
"ENSG00000143217" 412.33454205479 0.959821395362484 0.160002717754503 5.99878182591353 1.98803248228551e-09 2.20773555917399e-07
"ENSG00000179477" 260.699718869898 1.17668055525015 0.196323536885377 5.99357863004044 2.05272841130518e-09 2.26026273288884e-07
"ENSG00000227077" 57.6322638274913 1.99865473986976 0.333792009343433 5.987724942251 2.12796530640759e-09 2.3220037901271e-07
"ENSG00000124766" 1637.43192894529 -0.450718124129269 0.0752895621241238 -5.98646228525285 2.14454286781538e-09 2.3220037901271e-07
"ENSG00000174010" 513.666662927185 -0.630819138809824 0.10573036473928 -5.96630060215302 2.42692994999016e-09 2.60604139175389e-07
"ENSG00000123094" 834.513685793876 -0.607173847266281 0.101807931186896 -5.96391499353474 2.46264890292871e-09 2.62272108161907e-07
"ENSG00000049283" 1181.31552222269 0.682053198200648 0.115260582029008 5.91748875629481 3.26894200193514e-09 3.42529035976867e-07
"ENSG00000137965" 1626.64050968319 0.563088681078595 0.0951567111725122 5.91748783811745 3.26896024483426e-09 3.42529035976867e-07
"ENSG00000080824" 16789.9140173974 -0.572377300951151 0.0971245264933382 -5.89323131465058 3.78715672649902e-09 3.93652218779214e-07
"ENSG00000189057" 1077.63272289138 -0.504036024444384 0.0857349228072439 -5.87900482021309 4.12740354349913e-09 4.25613922545113e-07
"ENSG00000101236" 372.28113010694 -0.735372444040373 0.125217004715785 -5.87278417743265 4.28536225845605e-09 4.38422927748973e-07
"ENSG00000139211" 2804.51989185766 -0.499797838865125 0.0851525578446324 -5.86944011449481 4.37269257581507e-09 4.43862458105978e-07
"ENSG00000137936" 3565.13521597798 -0.412499237496268 0.0704271706079369 -5.85710364246524 4.71009206281072e-09 4.74404854047285e-07
"ENSG00000147896" 1829.23155934595 -0.451784674029948 0.0774511979338677 -5.83315282503064 5.43897086704955e-09 5.43604219042883e-07
"ENSG00000130589" 4216.83398638886 0.692260085986315 0.119273424070541 5.80397596011748 6.4760565900784e-09 6.42316055533502e-07
"ENSG00000109079" 3858.76256019144 -0.363865672466628 0.063309351305915 -5.74742380013348 9.06134128542009e-09 8.91924297889873e-07
"ENSG00000272327" 462.913235094949 -0.697071560829264 0.121483343305379 -5.7380011272574 9.58004786057774e-09 9.35891442499899e-07
"ENSG00000119714" 225.010070113646 -0.896516706209583 0.156395282035414 -5.73237692686008 9.90328903541156e-09 9.60249510724645e-07
"ENSG00000169252" 3595.29420217613 -0.406475278032799 0.0710033757348143 -5.72473173037457 1.03597312734878e-08 9.97066581010568e-07
"ENSG00000183347" 375.46558499979 0.811485439907677 0.141803613671956 5.72260056633637 1.04905708195292e-08 1.00223519601576e-06
"ENSG00000173145" 1668.1013967699 0.422887782082709 0.0739580465789889 5.71794147687575 1.07822262080602e-08 1.01555486643549e-06
"ENSG00000157551" 1540.05454173401 -0.479267907238415 0.0838192046459195 -5.71787705768628 1.07863135202107e-08 1.01555486643549e-06
"ENSG00000143702" 1390.84121053308 -0.580897333977173 0.101772009911673 -5.70783002597009 1.1442560352278e-08 1.06959127091474e-06
"ENSG00000168994" 648.35906731552 -0.556919793035663 0.0986145369765335 -5.64744113911105 1.62853565802445e-08 1.51139741462226e-06
"ENSG00000130940" 498.013947122342 0.798015338296944 0.141486385210469 5.64022705866613 1.69826068769722e-08 1.56492915710992e-06
"ENSG00000182580" 727.053528588554 0.678289946751662 0.120288318979313 5.63886795082999 1.71171732164377e-08 1.56622134930405e-06
"ENSG00000139318" 3743.07835209975 0.457688189307665 0.0814001911722828 5.6226918231552 1.88004619232587e-08 1.70821259978252e-06
"ENSG00000108771" 311.719116822657 0.746587808497364 0.132970514757389 5.61468690904557 1.96918470922042e-08 1.776778953257e-06
"ENSG00000128944" 1499.45633736783 0.441096361044488 0.0787572655426383 5.60070690628134 2.13479426456831e-08 1.91292288824387e-06
"ENSG00000126858" 826.506069339809 0.511127849265315 0.0916259405333036 5.57841858201209 2.42715031892383e-08 2.15999754066968e-06
"ENSG00000146592" 419.692831616248 -0.796650836274349 0.142939258117018 -5.57335225303999 2.49883585253374e-08 2.20866491373952e-06
"ENSG00000163516" 546.072563453864 0.58341838127209 0.104959071468032 5.55853222700989 2.72052731259624e-08 2.38836563328128e-06
"ENSG00000196923" 1899.02376669087 -0.504118391339479 0.0910865724306649 -5.53449732366661 3.12122196904999e-08 2.72174745260849e-06
"ENSG00000196588" 1295.71915913824 -0.481962465254332 0.0874281993026353 -5.51266604023268 3.53438488941794e-08 3.06148419121382e-06
"ENSG00000171310" 1400.8834410803 -0.490459031079226 0.0893481773312865 -5.48930090941524 4.03527666532518e-08 3.47220859023643e-06
"ENSG00000153292" 496.54729983719 0.714065395711564 0.130234735990644 5.482910456108 4.18384816578146e-08 3.57636442223675e-06
"ENSG00000165312" 578.251181328258 -0.635890825077773 0.116110806491398 -5.47658606716234 4.33609919745006e-08 3.6822834557169e-06
"ENSG00000158125" 1690.30708072397 0.528341387627251 0.0965427142480518 5.47261791573166 4.4343550943561e-08 3.74127115201096e-06
"ENSG00000167657" 1617.69644613997 -0.502375008682425 0.0921864822779496 -5.44955178100542 5.04969199283369e-08 4.21050579385066e-06
