"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000105939",2473.03356162576,-0.362530834724756,0.0697936711683129,-5.19432247446168,2.05466727592486e-07,2.0979733400482e-05
"ENSG00000138772",5179.97808001554,-0.315238772289412,0.0607169321076892,-5.19194170960904,2.08112165675186e-07,2.10005834218563e-05
"ENSG00000117143",5244.6174837646,-0.307583107720643,0.0592519883262515,-5.19110187538414,2.09053195870942e-07,2.10005834218563e-05
"ENSG00000137975",6960.11373996118,0.369655212659981,0.0712260064851152,5.18989103702216,2.10417176066512e-07,2.10005834218563e-05
"ENSG00000075275",4154.4168113364,0.284863515382091,0.0552462605520194,5.15624971782237,2.519448517315e-07,2.49575818051039e-05
"ENSG00000130707",1429.19304816752,0.429276844877215,0.0833450465526709,5.15059817749251,2.59656964338187e-07,2.55310114416674e-05
"ENSG00000159403",196.559637412141,0.78525824717622,0.153345649867896,5.12083810563065,3.04180708463896e-07,2.94763286597771e-05
"ENSG00000144959",591.622495247108,-0.533892365697414,0.104259320883453,-5.12081184850828,3.04223069639104e-07,2.94763286597771e-05
"ENSG00000185650",1874.64778106088,-0.381585276841289,0.0748508477345173,-5.09794195243725,3.43366068129562e-07,3.30278346982015e-05
"ENSG00000105427",1625.78356860434,-0.403805990273006,0.0792964772513721,-5.09235724296969,3.53638967943882e-07,3.37712493560222e-05
"ENSG00000125780",756.466329265762,-0.564056922973831,0.111923911956679,-5.03964624817757,4.66393114657226e-07,4.42207300282858e-05
"ENSG00000140937",774.258426767926,-0.482810211773526,0.0959643248971319,-5.03114269069333,4.87565091426e-07,4.59002767630406e-05
"ENSG00000104267",925.947363616926,0.421709968623408,0.0840733460004639,5.01597698539417,5.2764645104196e-07,4.932379571219e-05
"ENSG00000138678",179.120678910208,-0.817337304487638,0.163554677125707,-4.99733372870431,5.81284210487672e-07,5.39578084616318e-05
"ENSG00000074410",5147.92974203956,0.294884185189877,0.059169065218195,4.98375602356479,6.23617038650815e-07,5.74853650767425e-05
"ENSG00000147896",1501.07298681178,-0.375084336864451,0.075443866160885,-4.97170089433883,6.63680434927634e-07,6.07565109877891e-05
"ENSG00000110723",1973.60989493233,-0.346855693537664,0.0697852778262771,-4.97032761553409,6.68398651464027e-07,6.07693404077636e-05
"ENSG00000124225",1542.1838110663,-0.375124532962922,0.0755333865036689,-4.96634071801747,6.82280415776608e-07,6.16094574082905e-05
"ENSG00000143126",2098.83807946948,0.328071966371344,0.0661005531884038,4.96322573029387,6.93319231308422e-07,6.21832397053242e-05
"ENSG00000196611",6846.70468818006,0.265991056114924,0.0536585663992521,4.95710329150036,7.15519415700197e-07,6.33292430992802e-05
"ENSG00000105514",2484.68985986037,0.437505214699512,0.0882588168058363,4.95707092541242,7.15638576532472e-07,6.33292430992802e-05
"ENSG00000143878",1645.74401529007,-0.342070801745299,0.0690531333245898,-4.95373323810474,7.2802998525729e-07,6.39991392338097e-05
"ENSG00000186350",2901.16841934653,0.334561751207903,0.0675931881129552,4.94963709432992,7.43519892144186e-07,6.49308095284337e-05
"ENSG00000148154",3665.64130727155,-0.287224396528063,0.0581471785174725,-4.93961020725633,7.82788919598843e-07,6.78349673845634e-05
"ENSG00000133056",437.532615402714,0.591973585628755,0.119867532697721,4.9385648666147,7.86996005516254e-07,6.78349673845634e-05
"ENSG00000135925",400.640905849964,0.574828214041553,0.117190946340787,4.90505650811945,9.34004462723117e-07,7.99869370205591e-05
"ENSG00000154127",1212.8199310816,-0.363981420986603,0.0742332187392511,-4.90321485674912,9.4280763127995e-07,8.02232596000644e-05
"ENSG00000162552",91.9812344269559,1.21747832997702,0.249929565856324,4.87128573926668,1.10874355467463e-06,9.37417958264396e-05
"ENSG00000125144",32.507506653414,-1.88860947755758,0.388451771392388,-4.86188921416922,1.16270694025149e-06,9.76821007904954e-05
"ENSG00000197614",2934.02415941222,-0.396339770711911,0.0815714519293272,-4.85880490462885,1.18096431736919e-06,9.85919518789849e-05
"ENSG00000122641",2330.80636917316,-0.344055080349299,0.0708292803158742,-4.85752613629465,1.18861451903453e-06,9.86104320354018e-05
"ENSG00000182379",148.516991002579,0.875761701326944,0.180434500795701,4.8536266482569,1.21223862738717e-06,9.99456865834613e-05
"ENSG00000135114",706.215519512853,-0.432202489841675,0.0891576668242739,-4.84762001111501,1.24951444434927e-06,0.000102383053915384
"ENSG00000129521",433.743643406088,0.543925100418356,0.112581997796243,4.83136834543284,1.35597870869445e-06,0.000110424916436872
"ENSG00000151835",4080.23364911556,-0.308284541756871,0.063903130719104,-4.82424786215847,1.40532567970139e-06,0.000113745689465587
"ENSG00000005001",76.494109202439,-1.28840291994196,0.267967092715973,-4.80806395622457,1.52399013789937e-06,0.000122602697518038
"ENSG00000158055",1891.38480901641,0.364308507253866,0.0757909446836214,4.80675506519439,1.53399736876942e-06,0.000122664343813526
"ENSG00000134760",1973.09092665784,0.391234589572551,0.0814424478825286,4.80381667968603,1.55669365430539e-06,0.000123733841720059
"ENSG00000129151",121.896734377953,0.93927150676868,0.195591783991632,4.80220328073117,1.56929258909238e-06,0.00012399279659293
"ENSG00000149968",90.0786313010992,1.08602580484256,0.227231494973725,4.77938062665184,1.75836034297844e-06,0.000138109320666839
"ENSG00000155324",1047.99802226847,-0.406026913604261,0.0852459197365539,-4.76300701381435,1.90729209213846e-06,0.00014892585430027
"ENSG00000106366",5363.7480067501,-0.35647342288098,0.0752278102490717,-4.7385856600203,2.15215050518363e-06,0.000167062256174313
"ENSG00000099250",1098.73553725252,-0.382380460057649,0.0810283553921949,-4.7190944232651,2.36896849011903e-06,0.000182823765917675
"ENSG00000170465",5857.07003375097,0.376143323825898,0.0799718612612398,4.70344591077067,2.55806887879834e-06,0.000196276336977856
"ENSG00000003137",148.758467049541,0.803489192065957,0.171393811827003,4.68797084037643,2.75927322229273e-06,0.000210497659498354
"ENSG00000141579",1312.53119838748,0.38162731612203,0.0814740373562312,4.68403590279232,2.81280706070317e-06,0.000212251485136786
"ENSG00000131711",821.61416897729,-0.464719606124986,0.099215716764719,-4.68393134957666,2.81424298508922e-06,0.000212251485136786
"ENSG00000170873",1016.90297748238,0.41571931931445,0.0889802805095637,4.67203875885476,2.98224664488683e-06,0.000223651649515411
"ENSG00000170989",164.981607265541,-0.773487189593922,0.16569336989764,-4.66818430979924,3.03873244582418e-06,0.000225367989426729
"ENSG00000086570",9117.47228922992,0.262601805679996,0.0562538120580413,4.66816018457647,3.03908920501616e-06,0.000225367989426729
"ENSG00000188505",597.418394599038,-0.51669491728642,0.110747479722003,-4.66552303116441,3.07833012237533e-06,0.000227009744691167
"ENSG00000067082",3653.19743240531,-0.346610096900938,0.0744138683332598,-4.6578696238268,3.19498437211446e-06,0.0002343106218533
"ENSG00000078081",375.530167662306,0.578775786002594,0.12434141815486,4.65473045579843,3.24404812208219e-06,0.000236601619629225
