"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSG00000120129" 1808.36798960203 -1.44492531291569 0.0665611552978412 -21.7082366802392 1.71512470362204e-104 2.2766565315879e-100
"ENSG00000161654" 836.531312990037 -1.98678958708431 0.0925313722192804 -21.4715240834863 2.87435950244935e-102 1.90771240177564e-98
"ENSG00000073756" 9880.29562123206 -0.770444608466134 0.0532564070920057 -14.4667027036787 1.96676965894118e-47 8.7023001509284e-44
"ENSG00000154734" 2396.63866856771 -0.947365385397737 0.0678954672246251 -13.9532935573369 3.00405997430921e-44 9.96897302474513e-41
"ENSG00000078401" 1463.4942428104 -1.00437226226429 0.0761545469693703 -13.188605306368 1.02055881557506e-39 2.70937954358866e-36
"ENSG00000145824" 1145.35562180981 1.41520071642809 0.111976384216253 12.638385551859 1.29689525029694e-36 2.8691645920736e-33
"ENSG00000123689" 964.501632049951 -0.909851391694936 0.0826008889075272 -11.0150314812414 3.23423531458744e-28 6.13303422369052e-25
"ENSG00000169715" 2515.99285471921 -0.776552746855505 0.071926329168009 -10.7965018629214 3.5756802838227e-27 5.92853176099763e-24
"ENSG00000185633" 822.783471153005 0.984899448729442 0.0913149046459576 10.7857468892735 4.01964636499764e-27 5.92853176099763e-24
"ENSG00000185966" 356.160214106217 -1.20904915326036 0.121130579526002 -9.98137017086448 1.83909393962e-23 2.44121329545159e-20
"ENSG00000163202" 681.151977120881 -1.0432695956621 0.106533976559764 -9.79283444917535 1.20859401455073e-22 1.45844335901331e-19
"ENSG00000130600" 10878.7631255051 0.506833528948392 0.0530097241256329 9.56114255088743 1.16463766387033e-21 1.28828336251789e-18
"ENSG00000116741" 1212.09163547097 -0.712361092290446 0.0752902759457406 -9.46152850872566 3.03474130567273e-21 3.09870431473076e-18
"ENSG00000178363" 707.869325419905 0.861841434348731 0.093336159612869 9.23373575603921 2.6135402820818e-20 2.47800955031099e-17
"ENSG00000163297" 5219.09154487576 -0.504051347928164 0.0547667036748698 -9.20360938501129 3.46123727667864e-20 3.06296424070881e-17
"ENSG00000137801" 190438.222957979 -0.485337431376258 0.052795053437107 -9.19285803838467 3.82539695894524e-20 3.17364495206494e-17
