"","GSM3594010","GSM3594013","fc.EXPD4.CTRL","p.value"
"1415697_PM_at",4.95174454113379,6.71907126029605,1.76732671916226,0.0453613438455363
"1415706_PM_at",7.85532642588881,9.11424085231804,1.25891442642923,0.0468616306297431
"1415723_PM_at",6.86548722834373,8.49446073989807,1.62897351155435,0.043165119625907
"1415741_PM_at",6.18596766721662,7.70814127448723,1.52217360727061,0.00347533345477858
"1415775_PM_at",7.09499161478205,8.54233326400306,1.44734164922101,0.00400722885575819
"1415778_PM_at",7.59843989708494,8.80321104335881,1.20477114627386,0.0113129606968255
"1415783_PM_at",5.25695761906906,6.98846868847027,1.73151106940121,0.00211923912415437
"1415799_PM_at",6.17605004423328,7.56439872452819,1.38834868029491,0.00325742231328447
"1415802_PM_at",5.77633331021547,8.30248309199587,2.52614978178039,0.00915963539696619
"1415817_PM_s_at",8.15086493308157,9.67457300018112,1.52370806709955,0.00402178121228682
"1415827_PM_a_at",4.90323593632394,7.05817608533344,2.15494014900949,0.0175462640823257
"1415852_PM_at",7.79685205925574,9.15777600089255,1.36092394163682,0.0435551229418111
"1415858_PM_at",7.96447273401264,9.337355959448,1.37288322543536,0.000510286774682543
"1415860_PM_at",6.34564268111762,8.65573266200638,2.31008998088876,0.0311056469353713
"1415897_PM_a_at",4.65865493388027,6.60393240258667,1.9452774687064,0.0403459339003118
"1415899_PM_at",4.85864643805501,7.04061764281868,2.18197120476366,0.00239278464456196
"1415918_PM_a_at",6.44059780063167,7.76254623136309,1.32194843073142,0.0156229912801968
"1415921_PM_a_at",7.56944815176051,5.59719283859387,-1.97225531316664,0.0440249287286596
"1415933_PM_a_at",8.01783508940783,9.53847528125123,1.5206401918434,0.00299799846196279
"1415936_PM_at",4.91727799329921,6.7479731173902,1.83069512409099,0.00889597402019292
"1415940_PM_at",3.612287100412,5.91580119893364,2.30351409852163,0.04418430543364
"1415946_PM_at",5.01694347468861,6.53980175253779,1.52285827784918,0.0180704291398708
"1415963_PM_at",6.17331751562425,7.18801542788698,1.01469791226272,0.0486279527783055
"1415972_PM_at",6.46035795644699,8.07097576645937,1.61061781001238,0.0049830748933863
"1415976_PM_a_at",5.73595748431466,7.05905713867942,1.32309965436476,0.0276673254354601
"1415995_PM_at",5.14014165796082,7.24790881018979,2.10776715222897,0.00297206372998068
"1416009_PM_at",6.39399944163205,9.19884462862795,2.8048451869959,0.0102528762186397
"1416015_PM_s_at",5.84956820437706,7.37085411440061,1.52128591002354,0.0476397821213574
"1416039_PM_x_at",5.96897393471606,7.67334492816729,1.70437099345123,0.0333824552081848
"1416042_PM_s_at",5.68766242589362,7.56758869009169,1.87992626419807,0.00828351042705285
"1416046_PM_a_at",3.58580970650522,5.48381256384973,1.89800285734451,0.032129658837219
"1416059_PM_at",5.22486253173902,6.45835317419642,1.23349064245741,0.0264469699776812
"1416067_PM_at",5.00424848557566,7.64392401467414,2.63967552909848,0.00645370375147399
"1416071_PM_at",5.20674287809311,7.90360325806309,2.69686037996998,0.00215994085520709
"1416076_PM_at",7.23939711776476,9.49797832876617,2.25858121100141,0.00598484246315031
"1416083_PM_at",4.38331386399407,5.38580889727841,1.00249503328434,0.0105878866212056
"1416120_PM_at",6.30393563031645,8.97933285894282,2.67539722862637,0.0431600556430751
"1416161_PM_at",4.35073911318263,5.83236692217152,1.48162780898889,0.0215139430251611
"1416165_PM_at",4.74082266612797,8.50630623429155,3.76548356816358,0.00410564952881382
"1416166_PM_a_at",3.82902973419038,6.07904914166143,2.25001940747105,0.0384132408804903
"1416177_PM_at",6.85779608416898,8.33776901407848,1.4799729299095,0.00411540614630207
"1416182_PM_at",6.68806323919244,7.81768054606431,1.12961730687187,0.0198284666728967
"1416190_PM_a_at",4.29597074563129,6.64581389270427,2.34984314707298,0.00536603978621967
"1416191_PM_at",5.57612210557917,7.0541622253159,1.47804011973673,0.0334047387859556
"1416200_PM_at",5.04686278976531,7.96201088827137,2.91514809850606,0.000549520513120068
"1416213_PM_x_at",8.05550369988109,9.68230413368878,1.62680043380769,0.00809853943755028
"1416226_PM_at",7.05118495844878,8.81975732648674,1.76857236803796,0.0165571075832696
"1416229_PM_at",3.69231261214683,6.18157103619585,2.48925842404902,0.012292015912039
"1416234_PM_at",7.28994855740526,9.37788061817969,2.08793206077443,0.0433036546793147
"1416239_PM_at",5.16996882490264,7.53431018834573,2.36434136344309,0.0268218018414918
"1416249_PM_at",6.98892393957072,8.16624981684222,1.17732587727149,0.0225536428551746
"1416257_PM_at",5.78721480683381,8.36183358191007,2.57461877507627,0.0275738588119457
"1416269_PM_at",7.16384770488189,8.53645244717969,1.3726047422978,0.0422511996892921
"1416283_PM_at",5.5375542233425,7.92074922266378,2.38319499932129,0.00224394349288395
"1416288_PM_at",6.73867379754096,7.88378051541414,1.14510671787318,0.0194766434123212
"1416291_PM_at",8.48005662889519,9.54499101033493,1.06493438143974,0.0494426711353713
"1416318_PM_at",3.18757325860447,6.79720360432391,3.60963034571944,0.00276463039297153
"1416336_PM_s_at",5.02640990226547,7.43844869210881,2.41203878984334,0.00389647979906687
"1416339_PM_a_at",6.9599306037889,8.09381462745935,1.13388402367045,0.0478902356572034
"1416346_PM_at",4.96455155208183,6.54481796885593,1.5802664167741,0.0407456106271282
"1416349_PM_at",5.91905316798307,6.99313950319833,1.07408633521525,0.00459306402179254
"1416366_PM_at",6.78367233827277,7.93506625562073,1.15139391734796,0.0307474804589736
"1416379_PM_at",5.90214974737408,7.66229378442862,1.76014403705454,0.00772238420658888
"1416407_PM_at",6.20845283904884,7.30130325850679,1.09285041945795,0.0402403102863984
