"","CTRL_1","CTRL_2","CTRL_3","EXPD4_1","EXPD4_2","EXPD4_3","TPA_1","TPA_2"
"0610010F05Rik",4.45381730084674,4.17745700859298,4.3438480245843,4.25003153260865,4.95276532802932,5.03468712214626,4.36455693094462,4.23956165673611
"0610010K06Rik",5.79111238541442,5.33444918330537,4.91811966498264,5.62292991729277,5.59350024901299,5.25713525568188,6.20983294243075,5.13556775808844
"0610010K14Rik",8.16490392527686,7.98291168873731,9.17386499096967,9.24393807072845,9.38779852845725,9.0900206850159,9.59587011652355,9.99434539145503
"0610010O12Rik",4.88913050759357,4.76158754227752,4.38937518353905,4.62930481917463,4.37723317452685,4.24021466669828,4.40882290667587,4.75435286164676
"0610011F06Rik",5.33473007121592,6.26936661047061,5.56276427317034,6.5526400763215,6.11696339947018,6.03266633801762,5.5580697069225,6.12910167671344
"0610011L14Rik",4.37167924943499,4.80227032708858,5.33964444750387,5.3335671445068,5.47519263397399,5.50498180699387,5.73612728924897,5.63239505930256
"0610012G03Rik",4.66529767104984,4.50002003573382,4.44151462277096,4.62259061781282,5.71552050813828,4.89196758153006,5.45162818934575,4.89914362886155
"0610012H03Rik",3.80511787390784,3.61758250388461,3.53512533944028,3.48513328894647,3.34238225233531,3.37360185303614,3.27644156461795,3.8017365309652
"0610025J13Rik",6.59967882775634,6.99703569213198,6.32169094726949,6.32434700945653,6.14320311904628,6.04639962442387,6.24064603808188,6.16795922854849
"0610030E20Rik",7.70884084153046,7.82601145454412,7.22673070775534,6.48003145022249,7.15717075541101,7.67116212450289,7.04505138004028,7.73335027750012
"0610031J06Rik",5.43990253719334,4.51292323564109,6.30982656848731,5.77075322432999,6.00483748522549,6.12661265521919,6.20940311577335,6.58832706977277
"0610033M10Rik",4.94884779093275,5.05772863521768,4.76297398664755,5.60165589861899,4.70895371317838,4.44283672463788,4.62169828431407,4.5390629984994
"0610037L13Rik",4.42181033660996,5.11980393054563,5.37813993218973,4.94962836240348,5.19926111279387,4.38957092225084,4.98492590359249,4.62679823590913
"0610037P05Rik",5.46812181607571,6.52076706831697,6.41982294368874,5.91850873067597,6.53732519027374,6.00777526454377,6.52486533420811,7.19529493985378
"0610038B21Rik",6.24222250236401,5.59400078692646,5.51405282656672,5.32593582124247,5.38251914717236,5.36155792481389,5.53119512733743,5.62872475179345
"0610038L08Rik",4.42528655126847,3.89405730738736,4.33188338058439,3.91873602183846,3.65737604014182,3.87306723961643,3.6871037862578,3.94248704368899
"0610039K10Rik",4.35382516030916,4.62824156351244,3.98480462255158,4.13352449696632,3.89372418099949,3.88075041833464,3.70789280021288,3.83434425276827
"0610040A22Rik",3.35217285197116,3.05480201787021,3.23210951731965,3.1024314212683,2.9176722721269,2.9856688128347,3.0167261233877,2.86915286212239
"0610040B09Rik",3.92488840270846,3.56174778631348,3.96418519859689,3.34940101537414,3.50120560049113,3.76348566634417,3.92993502452278,4.16538997624362
"0610040B10Rik",4.27451266320103,4.4928974190874,4.41322009587235,4.11744377585135,4.13510520385275,4.22805884208094,4.56458770048625,4.1014346774688
"0610040F04Rik",3.51045572119833,3.43428473761367,3.3088796572939,4.63001171319914,3.16961708265904,3.2151777809334,3.10752115688423,3.15850514941206
"0610040J01Rik",4.68806726178541,4.80907542300635,4.43338850464084,4.57933284795791,4.4240440080725,4.36365134520052,4.28816492536406,4.2751829375088
"0610042E11Rik",3.23661879249128,3.14121362554083,3.03226132053906,2.95949113170573,2.7773510889862,2.89886344128908,2.96468594041865,2.88504571388071
"0710001A04Rik",3.80262841675714,4.12869617779365,3.6123193766736,4.7778841201033,3.45809102219493,3.47628706646502,3.43283216946583,3.31606279716398
"0710001D07Rik",5.79012568238092,5.13616787447896,5.04904979029384,5.33042659611685,5.32980996040532,4.91742955126188,5.16120050701802,4.60068020103411
"0710007G10Rik /// Tmem175",3.83336057346737,3.72267191516596,3.76679467017851,4.12040653411418,3.54652971953387,4.1913587527478,3.69428877046616,3.83364744946323
"0910001L09Rik",7.64947036006329,8.16666160526905,8.5606569194453,7.36008376073364,7.38079312794718,7.25985081666961,7.5833124934391,7.90866118107924
"100041874 /// ENSMUSG00000063277 /// ENSMUSG00000068790 /// Gm10406 /// Gm2897 /// Gm3194 /// Gm3696 /// Gm8108 /// Gm8206 /// LOC100036568 /// LOC100041151 /// LOC671957",9.95806340514785,9.73279875976296,6.5158369446723,9.18663195764942,5.12316495142213,6.48076583750675,4.99892949248643,6.23270111069062
"100041874 /// ENSMUSG00000063277 /// ENSMUSG00000068790 /// Gm10409 /// Gm2897 /// Gm3002 /// Gm3194 /// Gm3696 /// Gm3703 /// Gm8108 /// Gm8206 /// Gm8348 /// LOC100036568 /// LOC100041151 /// LOC671957",9.31786773239189,9.1363931612269,5.81640245250241,8.82533171827711,4.81024818710472,5.81800328771007,5.01670934401708,5.88543752880689
"100041874 /// Gm3194 /// Gm8108",5.3417348128388,5.81613807677274,4.2500012726153,5.4404811486961,3.89212550771862,3.51883997641666,3.64117588289441,3.76935359014319
"1010001B22Rik",3.56009377512268,4.64330320449347,3.46869434636308,3.4688595925254,3.2003225365534,3.1621419652785,3.27863143311624,3.20106825446564
