ENTREZID	log2FoldChange
66050	1.01814059831025
66952	1.12170912970673
69662	2.34310681822661
69662	1.29471299137418
66520	2.23910239595627
70045	5.87506019124213
74477	1.33053504998776
74477	1.33053504998776
56321	1.49129134819204
24015	1.52128591002354
26357	2.19074827770156
11429	1.16670308123325
56456	1.52202407442513
109711	2.11825608451617
109711	2.44116705931694
11477	1.38322865832763
75894	1.94768666604426
11501	1.91753605734317
11504	1.90287345574356
56417	1.25513826338385
240442	1.06015837488782
68048	1.63722910383462
70292	1.10282854809677
269378	1.50614885677256
231872	1.28106089629135
11636	2.13280092188796
219181	1.39491914966295
68050	1.20980901582492
11677	1.73804733926271
14187	2.76940986615587
11651	1.12758126896123
11651	1.30350311364945
56752	1.59396974773369
56752	1.38407514236263
380959	1.55610234899957
11717	1.47289274099859
68420	1.43899591516825
66471	2.66880837973342
66471	1.68176821810814
71914	3.1347705752185
57267	1.12961730687187
11787	1.35932239261472
235606	1.6106584448694
11821	1.82341333963569
11828	3.49762903309568
11843	1.09993665600452
11855	1.13782167418416
11857	1.08406466673342
107566	1.06460334278045
54208	1.41872903061607
11867	1.76857236803796
68089	1.2960205487195
67771	1.27880889062553
66403	1.98424061921713
12316	1.5289538247621
11898	2.36434136344309
11909	1.64274606536914
109168	1.62590326226776
109168	1.75858297918761
231287	1.41341907758476
11928	3.68121605275883
11938	2.75753421042983
11938	2.13174312833583
67126	2.08514420158202
57423	1.3726047422978
70495	2.17198222908084
70495	1.44188960143725
11984	1.15354078325544
20238	2.24511192308427
20877	1.61236573902936
20877	2.62229325800006
53625	1.01570796585535
14595	1.432596562098
56336	2.0082152097174
29815	1.83069512409099
53619	1.04067946872467
104184	1.54099718086656
12173	3.56517724933737
69556	1.36150926958996
12181	1.09786590511534
12237	1.26856271660712
231889	2.27668744021188
66882	2.86060208793565
66882	1.5654650683126
66882	1.75147797735522
78520	2.02949659636724
12283	1.15634784188014
12301	1.79395616895094
69719	1.96813135320332
69719	1.73110662640032
109624	1.54640138364175
12313	1.67973137953403
12313	2.06722078124872
12313	1.78635301035602
12317	1.68465915762517
12317	2.02874163628991
12317	2.33932664051971
12330	2.16698414528244
12334	2.57461877507627
12336	1.74197009980896
53872	1.10984076018018
53872	1.25152223905645
76459	1.43329151065546
52502	1.32309965436476
12367	1.65429973396705
12367	1.40249003244165
12368	2.10776715222897
67500	1.24444951772998
67500	1.58140141036844
52713	1.20634447357527
216527	1.72417045445917
12428	1.56549890473704
12428	1.77417045084027
268697	2.91531613084341
268697	2.4436453858469
268697	2.32649261166904
12442	1.93996519266019
12450	1.67128088756197
12461	1.58928969630435
12462	1.36116239615661
12462	1.4274536293927
12465	1.04814097356476
12468	1.52370806709955
12505	1.47119140498189
12505	1.99512726011557
12505	1.12928319196086
107995	1.40368962441866
107995	1.23068545842156
12530	1.04899561529966
108912	1.06690473003849
14793	1.60253738633104
67849	1.69807514470874
52276	1.15753974651295
12560	1.5359268680622
52858	1.62665058554424
12534	2.36238430790146
52626	1.17576368722834
52626	1.77932586419041
12615	2.0050395608236
108000	1.77936021729863
320394	1.06671332168919
106143	1.3656495709213
103172	2.02857497251413
109006	1.33981123259938
23991	1.10717629122442
67006	1.17724318840932
216197	1.38674459139393
54124	2.23703722677972
54124	2.20447808577659
76707	1.95729531535558
12764	1.68582511249993
66054	1.10187861928201
98417	1.26522637013073
