"","ID","CTRL","TPA","FC","Pvalue","Gene Symbol"
"56","1416737_PM_at",9.51646,8.062615,-1.453845,0.00139054143610493,"Gys1"
"57","1416773_PM_at",7.79180333333333,9.04683,1.25502666666667,0.00197985348239652,"Wee1"
"58","1416871_PM_at",10.4426,8.84267,-1.59993,0.0443696489300372,"Adam8"
"59","1416905_PM_at",7.20545,8.521765,1.316315,0.00704300004809188,"Guca2a"
"60","1416926_PM_at",7.28509,9.901735,2.616645,0.00693169751896756,"Trp53inp1"
"61","1416927_PM_at",8.39051333333333,10.32805,1.93753666666667,0.0155202948766993,"Trp53inp1"
"62","1416958_PM_at",6.00579666666667,7.51683,1.51103333333333,0.00094845200907,"Nr1d2"
"63","1417013_PM_at",9.63344666666667,10.8589,1.22545333333333,0.0278327949616195,"Hspb8"
"64","1417018_PM_at",9.27227,7.5196,-1.75267,0.00527022443387813,"Efemp2"
"65","1417027_PM_at",6.29931,9.07709,2.77778,0.0018925708369472,"Trim2"
"66","1417066_PM_at",7.84504666666667,9.050165,1.20511833333333,0.00942238414212745,"Cabc1"
"67","1417094_PM_at",8.88361666666667,7.65174,-1.23187666666667,0.00216511946267643,"Acot7"
"68","1417101_PM_at",7.28048333333333,9.248045,1.96756166666667,0.00777364571400996,"Hspa2"
"69","1417109_PM_at",10.7876,8.605415,-2.182185,0.00036817347061847,"Tinagl1"
"70","1417110_PM_at",6.70634333333333,5.668765,-1.03757833333333,0.01240643897699,"Man1a"
"71","1417133_PM_at",7.55729666666667,9.51831,1.96101333333333,0.00773766392055768,"Pmp22"
"72","1417150_PM_at",7.16832666666667,9.027975,1.85964833333333,0.00556227100113166,"Slc6a4"
"73","1417169_PM_at",6.06498666666667,7.198055,1.13306833333333,0.0156769054139153,"Usp2"
"74","1417205_PM_at",9.69053666666667,8.607145,-1.08339166666667,0.014398182041885,"Kdelr2"
"75","1417256_PM_at",11.1728333333333,7.359915,-3.81291833333333,0.00117467189528427,"Mmp13"
"76","1417263_PM_at",7.19366333333333,5.970205,-1.22345833333333,0.00628773199390646,"Ptgs2"
"77","1417275_PM_at",8.99563,5.25491,-3.74072,0.00109988607078504,"Mal"
"78","1417328_PM_at",11.0829,9.26032,-1.82258,0.000549301379186567,"Ercc1"
"79","1417333_PM_at",7.85612666666667,6.461685,-1.39444166666667,0.00188780529456912,"Rasa4"
"80","1417335_PM_at",9.09992333333333,6.71189,-2.38803333333333,0.000450328103571115,"Sult2b1"
"81","1417374_PM_at",11.7743333333333,10.43635,-1.33798333333333,0.000281018972732162,"Tuba4a"
"82","1417398_PM_at",9.56249333333333,7.657155,-1.90533833333333,0.000743972587798632,"Rras2"
"83","1417399_PM_at",9.84818,11.40395,1.55577,0.000593933714928682,"Gas6"
"84","1417409_PM_at",10.7633,11.96385,1.20055,0.00396271198830653,"Jun"
"85","1417429_PM_at",6.55775333333333,7.97614,1.41838666666667,0.0170267429462286,"Fmo1"
"86","1417472_PM_at",10.9701,9.905775,-1.064325,0.0162525407576376,"Myh9"
"87","1417505_PM_s_at",7.91333666666667,9.89972,1.98638333333333,0.0394108984187288,"Gm13305 /// Gm2002 /// Il11ra1 /// Il11ra2"
"88","1417580_PM_s_at",6.87493,10.106945,3.232015,0.00239861528507778,"Selenbp1"
"89","1417588_PM_at",8.61385,6.820405,-1.793445,0.0439788218836041,"Galnt3"
"90","1417599_PM_at",8.55312666666667,7.16511,-1.38801666666667,0.00743770789855154,"Cd276"
"91","1417600_PM_at",6.66742,7.79859,1.13117,0.0125384633752022,"Slc15a2"
"92","1417636_PM_at",8.02924333333333,9.34341,1.31416666666667,0.00334093950080111,"Slc6a9"
"93","1417639_PM_at",8.05544,10.2894,2.23396,0.000463744508126778,"Slc22a4"
"94","1417656_PM_at",8.00333333333333,6.911345,-1.09198833333333,0.0305884290225829,"Mybl2"
"95","1417662_PM_at",8.23485333333333,6.028415,-2.20643833333333,0.00367974075315851,"Elk3"
"96","1417689_PM_a_at",7.70414666666667,8.86389,1.15974333333333,0.0409161912172124,"Pdzk1ip1"
"97","1417744_PM_a_at",9.52833,8.221165,-1.307165,0.0293823509654836,"Ralb"
"98","1417745_PM_at",11.4139666666667,7.31726,-4.09670666666667,0.000277144507581712,"Cpn1"
"99","1417751_PM_at",8.23134,7.009645,-1.221695,0.000812868278305142,"Stk10"
"100","1417774_PM_at",9.34039666666667,8.290055,-1.05034166666666,0.00640643906592602,"Nans"
"101","1417788_PM_at",9.79179333333333,8.736425,-1.05536833333333,0.0436879492905787,"Sncg"
"102","1417812_PM_a_at",12.8123,11.56105,-1.25125,0.0411783900358918,"Lamb3"
"103","1417829_PM_a_at",8.96809333333333,10.5775,1.60940666666667,0.00284347208135237,"Rab15"
